system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Myron\Shifter\Shifter\
display  D   display_settings.c:357  _al_score_display_settings       [   0.03362] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03364] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03366] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03368] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03370] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03372] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03374] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03376] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03379] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03381] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03383] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03385] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03387] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03389] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03391] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03393] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03396] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03398] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03400] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03402] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03404] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03406] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03408] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03410] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03412] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03417] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03419] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03421] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03424] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03426] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03428] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03432] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03434] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03436] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03438] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03440] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03443] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03445] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03447] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03451] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03453] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03455] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03457] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03459] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03461] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03463] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03465] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03468] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03470] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03473] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03476] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03478] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03480] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03482] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03484] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03486] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03488] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03490] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03492] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03494] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03496] Score is : 598
